DATE,VALUE
189503,29.6
189603,29.6
189703,33.1
189803,37.4
189903,30.8
190003,30.3
190103,30.6
190203,33
190303,35.6
190403,27
190503,29.1
190603,33.2
190703,32
190803,32.5
190903,34.9
191003,33.1
191103,33
191203,28.9
191303,37.8
191403,30
191503,34.5
191603,30.9
191703,32.3
191803,30.2
191903,36.8
192003,29.4
192103,37.4
192203,33.1
192303,29.8
192403,32.4
192503,35.6
192603,31.1
192703,35.6
192803,34.1
192903,35.5
193003,35.7
193103,34.5
193203,37.7
193303,36.4
193403,29.4
193503,33.3
193603,32.2
193703,36
193803,36
193903,34.9
194003,29.8
194103,31
194203,33.3
194303,34
194403,33.7
194503,35.6
194603,37.4
194703,33.6
194803,31.6
194903,38.9
195003,35.3
195103,37.1
195203,36.3
195303,38.6
195403,36.5
195503,34.6
195603,34.3
195703,34.9
195803,32.2
195903,33.5
196003,33.5
196103,33.6
196203,33.8
196303,33
196403,36.2
196503,33.5
196603,35.4
196703,33.4
196803,31.7
196903,33.6
197003,-99
197103,32.8
197203,34.5
197303,37.2
197403,35.4
197503,36.8
197603,36.5
197703,33.3
197803,30.7
197903,33
198003,33.6
198103,34.4
198203,32.9
198303,36.9
198403,34.4
198503,35.8
198603,35.9
198703,36
198803,35.2
198903,37.2
199003,41.2
199103,39
199203,36.5
199303,34.7
199403,31.4
199503,37.2
199603,34.4
199703,38
199803,42
199903,38.4
200003,38.6
200103,36.4
200203,41.6
200303,33.6
200403,34.4
200503,35.8
200603,39.9
200703,36
200803,38.3
200903,35.7
201003,37.9
201103,36
201203,43
201303,36.4
201403,32.7
201503,30.7
201603,40.4
201703,39.7
201803,38
201903,36.9
202003,42.4
202103,38.3
202203,37.7
202303,43.1
202403,41.8
202503,37.8
